Entry_No,Date,Description,WorkDescription,Contact_No,Contact_Name,Contact_Company_Name,Duration_Min,Salesperson_Code,User_ID,Quote_ID,Quote_Amount,Quote_Age_Days,Customer_Type,Source_Channel,Product_Type,Past_Interactions,Prior_Orders,Salesperson,Lead_Priority
1,2024-06-25,Consultation,Install product,32294883,Margaret Palmer,Wilson-Chandler,16,445,331,Q100,142026,4,Corporate,Website,Low-margin,"5 (calls, visits)",2,PMOMONDI,Medium Priority
2,2024-10-10,Installation request,Install product,30370764,Ryan Caldwell,"Stewart, Robinson and Evans",17,514,327,Q101,146981,16,Government,Website,Low-margin,"6 (calls, visits, emails)",13,PMNYABUTO,Medium Priority
3,2024-11-25,Installation request,Inspect equipment,89656247,Donna Shea,Orozco-Lane,11,369,389,Q102,246571,10,NGO,Walk-in,High-margin,"3 (calls, visits)",3,PMAMAI,Medium Priority
4,2024-11-07,Installation request,Install product,69068422,Christine Ward,"Little, Cooper and Thomas",101,445,377,Q103,163685,25,Contractor,Email,High-margin,1 (visit),12,PMAMAI,Medium Priority
5,2025-01-05,Consultation,Inspect equipment,02246786,Elaine Smith,"Torres, Flores and Morris",170,106,346,Q104,327698,6,Corporate,Website,High-margin,2 (calls),9,PMAMAI,High Priority
6,2024-05-30,Service call,Install product,12573898,John Trevino,Miller and Sons,107,445,358,Q105,358281,26,NGO,Walk-in,High-margin,2 (calls),8,PMAMAI,Medium Priority
7,2025-01-06,Consultation,Repair machinery,69382364,Kari Ramos,"Campbell, Lopez and Stephens",146,369,320,Q106,267357,12,NGO,Email,Low-margin,2 (calls),10,PMAMAI,Medium Priority
8,2025-04-03,Service call,Install product,52165541,Christopher Riddle,"Marquez, Levy and Stanton",90,858,334,Q107,59701,6,Government,Email,High-margin,"6 (calls, visits, emails)",15,PMKILONZO,Medium Priority
9,2025-02-06,Consultation,Upgrade system,27712623,Kristen Anderson,"Johnson, Schmidt and Johnson",46,445,317,Q108,154303,23,Government,Referral,High-margin,"5 (calls, visits)",13,PMOMONDI,High Priority
10,2024-09-25,Installation request,Inspect equipment,91969610,Jeffrey Christensen,Collins-Livingston,66,369,365,Q109,283744,2,Contractor,Website,High-margin,2 (calls),13,PMOMONDI,High Priority
11,2024-09-12,Service call,Upgrade system,78936919,Regina Stevens,Lowe Group,107,106,359,Q110,302408,8,Government,Website,Low-margin,1 (visit),8,PMMULWA,Medium Priority
12,2024-07-08,Service call,Inspect equipment,85357930,Joshua Diaz,"Campbell, Williams and Walter",121,369,358,Q111,26701,30,Corporate,Email,High-margin,"5 (calls, visits)",5,PMOMONDI,Medium Priority
13,2025-01-17,Service call,Inspect equipment,56198143,Anthony Marks,"Dixon, Harrison and Short",173,106,377,Q112,129286,4,NGO,Walk-in,Low-margin,"5 (calls, visits)",0,PMOMONDI,Medium Priority
14,2024-08-21,Installation request,Upgrade system,64886105,Robert Ponce,Roberts-Bond,14,514,346,Q113,485703,26,NGO,Walk-in,High-margin,"5 (calls, visits)",2,PMAMAI,Medium Priority
15,2024-10-02,Consultation,Upgrade system,85955898,Jeffrey Martin,Miller LLC,27,106,398,Q114,90934,4,Corporate,Shopify,Mixed,2 (calls),8,PMOMONDI,Medium Priority
16,2025-01-10,Consultation,Upgrade system,29743425,Natasha Stevens,Donaldson and Sons,64,106,396,Q115,407694,22,Individual,Email,High-margin,"6 (calls, visits, emails)",11,PMKILONZO,Medium Priority
17,2024-09-21,Consultation,Upgrade system,42318204,Jacqueline Whitney,Wagner Inc,40,369,328,Q116,58568,10,Contractor,Referral,Low-margin,"5 (calls, visits)",7,PMAMAI,Medium Priority
18,2024-08-28,Service call,Install product,81841480,Mary Martinez,Cannon Inc,68,514,304,Q117,475696,10,Contractor,Referral,High-margin,"6 (calls, visits, emails)",15,PMNYABUTO,High Priority
19,2024-08-10,Consultation,Repair machinery,10563767,Susan Warner,Howard Group,156,106,360,Q118,152400,25,Reseller,Shopify,High-margin,1 (visit),13,PMMULWA,Medium Priority
20,2025-03-31,Installation request,Upgrade system,36211401,Reginald Wong,Williams-Sandoval,129,514,386,Q119,367598,20,Contractor,Website,High-margin,"3 (calls, visits)",3,PMNYABUTO,Medium Priority
21,2024-10-13,Service call,Repair machinery,45976566,Joshua Zhang,Collins-Pena,147,858,317,Q120,246187,5,NGO,Shopify,High-margin,1 (visit),14,PMOMONDI,Medium Priority
22,2024-07-24,Service call,Install product,86640534,Samantha Little DDS,Smith-Watson,176,106,301,Q121,73896,29,Individual,Walk-in,High-margin,"4 (calls, visits)",6,PMKILONZO,Medium Priority
23,2025-03-01,Service call,Repair machinery,46006208,Barbara Oneal,"Burns, Lewis and Smith",107,514,349,Q122,164042,29,Reseller,FloApp,High-margin,"6 (calls, visits, emails)",15,PMNYABUTO,Medium Priority
24,2025-02-21,Service call,Inspect equipment,63643222,Mark Brown,Aguirre-Hoffman,65,514,374,Q123,410738,17,Contractor,Email,High-margin,1 (visit),15,PMOMONDI,Medium Priority
25,2025-04-26,Consultation,Repair machinery,38675177,Raymond Stone,Chan-Conway,24,106,310,Q124,471348,5,Contractor,Referral,High-margin,2 (calls),12,PMAMAI,High Priority
26,2024-07-27,Consultation,Repair machinery,36252842,Kelly Decker,"Hamilton, Little and Moss",158,106,305,Q125,349734,2,Reseller,Email,Low-margin,"5 (calls, visits)",10,PMMULWA,Medium Priority
27,2024-10-14,Service call,Inspect equipment,63875169,Caleb Crawford,"Moreno, Wall and Alvarez",71,445,350,Q126,93617,21,Corporate,FloApp,High-margin,1 (visit),0,PMKILONZO,Medium Priority
28,2024-08-23,Consultation,Install product,21301424,Thomas Taylor,Malone-Chan,28,106,327,Q127,290229,8,Individual,FloApp,Mixed,2 (calls),11,PMMULWA,Medium Priority
29,2024-11-02,Service call,Upgrade system,49813992,Lydia Hansen,"Mcdonald, Wade and Miller",149,445,378,Q128,448152,20,Government,Website,Low-margin,"5 (calls, visits)",9,PMAMAI,Medium Priority
30,2024-07-21,Service call,Inspect equipment,41203477,Chad Norman,Hernandez-Brewer,39,514,395,Q129,315048,4,NGO,FloApp,Low-margin,"6 (calls, visits, emails)",10,PMNYABUTO,Medium Priority
31,2024-05-31,Consultation,Inspect equipment,81689525,Samuel Rodriguez,"Ramirez, Sanchez and Gonzalez",139,858,332,Q130,499657,29,Contractor,Website,Low-margin,"3 (calls, visits)",1,PMAMAI,Medium Priority
32,2025-01-24,Installation request,Repair machinery,96662728,Andrew Ramos,Grant Group,173,445,320,Q131,413618,14,Government,Email,High-margin,1 (visit),3,PMAMAI,Medium Priority
33,2024-08-18,Consultation,Repair machinery,13047229,Morgan Cain,"Anderson, Johnson and Shaw",149,514,347,Q132,330402,17,Individual,Shopify,High-margin,"3 (calls, visits)",11,PMAMAI,Medium Priority
34,2025-03-30,Installation request,Repair machinery,45629672,Taylor Brown,"Daniel, Watts and Daniel",73,514,345,Q133,434005,17,Reseller,Referral,Low-margin,2 (calls),5,PMNYABUTO,Medium Priority
35,2024-05-14,Installation request,Install product,35951060,Courtney Cline,Spencer PLC,55,445,400,Q134,240856,25,Corporate,Email,Mixed,"3 (calls, visits)",5,PMAMAI,Medium Priority
36,2024-10-05,Installation request,Install product,67804190,Zoe Vasquez,Rivera-Andrews,130,369,325,Q135,453126,29,Reseller,FloApp,High-margin,2 (calls),7,PMAMAI,Medium Priority
37,2025-03-09,Consultation,Repair machinery,90559423,Vincent Brooks,Cook PLC,112,445,335,Q136,478169,2,NGO,FloApp,Low-margin,"4 (calls, visits)",10,PMAMAI,Medium Priority
38,2024-12-01,Service call,Inspect equipment,85313336,James Bell,Perez LLC,55,106,333,Q137,45057,3,Government,Shopify,High-margin,"3 (calls, visits)",13,PMOMONDI,Medium Priority
39,2025-01-16,Consultation,Install product,71716480,Julian Walton,Curtis-Nguyen,108,106,324,Q138,158547,1,Corporate,Shopify,High-margin,"5 (calls, visits)",6,PMMULWA,High Priority
40,2025-03-28,Installation request,Install product,44563143,Cassandra Rich,"Hunter, Caldwell and Bradley",180,445,379,Q139,189582,21,Contractor,Email,Mixed,"5 (calls, visits)",9,PMKILONZO,Medium Priority
41,2024-10-10,Installation request,Upgrade system,68283443,Andrew Baker,Gutierrez-Castro,85,106,316,Q140,125579,13,Corporate,Shopify,Low-margin,2 (calls),9,PMKILONZO,Medium Priority
42,2024-12-17,Consultation,Install product,79161587,Martin Gomez,Thompson-Brown,87,445,326,Q141,250385,25,Government,Referral,Low-margin,"4 (calls, visits)",14,PMKILONZO,Medium Priority
43,2025-01-11,Consultation,Repair machinery,84052885,Charles Young,Holmes LLC,140,858,394,Q142,113967,21,Contractor,FloApp,Low-margin,"6 (calls, visits, emails)",10,PMAMAI,Medium Priority
44,2025-03-08,Service call,Inspect equipment,49816429,Erin Adams,"Myers, West and Stephens",67,369,318,Q143,37805,1,Individual,Shopify,Low-margin,1 (visit),14,PMKILONZO,Low Priority
45,2024-11-23,Consultation,Repair machinery,28593299,Kristen Mitchell,"Sandoval, Ochoa and Jordan",108,858,351,Q144,152918,4,Corporate,Email,High-margin,1 (visit),13,PMNYABUTO,High Priority
46,2025-03-13,Service call,Upgrade system,20383435,Tyler Rogers,"Johnston, Gonzalez and Edwards",22,106,331,Q145,469772,3,Reseller,Walk-in,Mixed,"6 (calls, visits, emails)",10,PMKILONZO,High Priority
47,2024-12-07,Consultation,Upgrade system,28145466,Jonathon Montgomery,Curtis-Murray,150,858,320,Q146,414889,27,Reseller,Shopify,High-margin,2 (calls),8,PMOMONDI,Medium Priority
48,2025-01-11,Installation request,Repair machinery,52219248,Jared Stevenson,Smith and Sons,80,858,309,Q147,399103,9,Individual,FloApp,High-margin,"5 (calls, visits)",2,PMNYABUTO,Medium Priority
49,2025-03-03,Service call,Repair machinery,30749671,Kari Ramsey,Duncan-Smith,108,369,390,Q148,137172,2,Reseller,Shopify,High-margin,"4 (calls, visits)",13,PMAMAI,Medium Priority
50,2024-06-20,Service call,Upgrade system,44546779,Heather Burch,Potter Ltd,109,106,389,Q149,35240,27,Government,Shopify,High-margin,"3 (calls, visits)",9,PMKILONZO,Medium Priority
51,2024-11-09,Installation request,Repair machinery,31504247,Donald Austin,Williams-Torres,134,369,334,Q150,253503,15,Contractor,Shopify,High-margin,"6 (calls, visits, emails)",12,PMNYABUTO,High Priority
52,2025-01-04,Installation request,Repair machinery,14611990,Terry Miller,Martin-Brown,169,106,303,Q151,231580,18,Government,Email,High-margin,"6 (calls, visits, emails)",13,PMNYABUTO,Medium Priority
53,2024-05-06,Installation request,Repair machinery,76493768,Kelly Robinson,Howard-Johnson,22,445,348,Q152,196627,6,Reseller,FloApp,High-margin,"4 (calls, visits)",8,PMKILONZO,Medium Priority
54,2025-04-20,Installation request,Install product,61324847,Kenneth Lopez,Ramirez-Payne,130,514,395,Q153,307810,1,NGO,Walk-in,Low-margin,"6 (calls, visits, emails)",1,PMAMAI,Medium Priority
55,2025-04-19,Service call,Repair machinery,58536292,Kristen Mann,Mathews LLC,15,106,319,Q154,150066,4,Reseller,Email,High-margin,2 (calls),14,PMMULWA,High Priority
56,2024-10-19,Installation request,Repair machinery,79257679,Ryan Petersen,Charles-Jones,165,106,395,Q155,401626,3,Individual,FloApp,High-margin,1 (visit),9,PMOMONDI,Medium Priority
57,2025-03-07,Consultation,Upgrade system,34074785,Michael Wallace,"Padilla, Williams and Watkins",111,369,309,Q156,335429,22,Corporate,Walk-in,High-margin,"3 (calls, visits)",3,PMOMONDI,Medium Priority
58,2024-09-27,Service call,Inspect equipment,74992343,Peter Oconnor,Munoz Group,146,858,384,Q157,219285,2,Government,Email,High-margin,"4 (calls, visits)",15,PMAMAI,Medium Priority
59,2025-02-06,Installation request,Inspect equipment,22076058,Ronald Washington,Sherman Inc,172,858,390,Q158,105211,13,Individual,Email,Low-margin,"6 (calls, visits, emails)",8,PMOMONDI,Medium Priority
60,2025-03-23,Consultation,Upgrade system,21333680,Michael Matthews,"Parker, Hernandez and Leonard",129,858,393,Q159,335627,8,NGO,Walk-in,Mixed,1 (visit),8,PMKILONZO,Medium Priority
61,2024-08-08,Service call,Upgrade system,42199739,Adam Richardson,Estrada-Perry,155,106,385,Q160,223699,10,Contractor,Shopify,Mixed,2 (calls),15,PMNYABUTO,Medium Priority
62,2024-10-02,Installation request,Inspect equipment,84378230,Sandra Mercer,Clark-Moore,97,445,376,Q161,392622,28,NGO,Referral,High-margin,2 (calls),2,PMNYABUTO,Medium Priority
63,2024-11-09,Consultation,Upgrade system,54138462,Susan Jones,"Hill, Knight and Roberts",135,106,397,Q162,150998,22,Reseller,Email,Low-margin,"4 (calls, visits)",0,PMAMAI,Low Priority
64,2024-08-08,Installation request,Repair machinery,63818426,John Wagner,Harvey Ltd,113,369,339,Q163,373106,18,NGO,Shopify,Low-margin,"3 (calls, visits)",13,PMOMONDI,Medium Priority
65,2024-10-27,Installation request,Inspect equipment,08032897,Andrea Lucas,Contreras Ltd,126,445,339,Q164,156807,7,Contractor,Email,High-margin,1 (visit),5,PMNYABUTO,Medium Priority
66,2024-08-30,Service call,Upgrade system,99848426,James Cruz,"Young, Braun and Carroll",80,106,397,Q165,300060,19,NGO,Website,Mixed,"3 (calls, visits)",7,PMMULWA,Medium Priority
67,2025-04-29,Service call,Inspect equipment,66096154,Danny Andrews,"Harris, Lane and Hahn",13,106,316,Q166,168818,1,Contractor,Referral,High-margin,2 (calls),15,PMAMAI,High Priority
68,2025-01-22,Service call,Inspect equipment,35098018,Justin Campbell,Malone Group,130,858,356,Q167,203628,5,Contractor,FloApp,Mixed,"4 (calls, visits)",3,PMAMAI,Medium Priority
69,2024-07-29,Installation request,Upgrade system,67085598,Stephanie Miller,"Brown, Pineda and Kemp",28,106,380,Q168,384898,1,Individual,Walk-in,Mixed,"3 (calls, visits)",2,PMNYABUTO,Medium Priority
70,2024-08-13,Service call,Upgrade system,58522309,Brenda Bishop,Ellis-Jones,165,106,379,Q169,143325,24,Government,Shopify,High-margin,"4 (calls, visits)",9,PMOMONDI,Medium Priority
71,2024-09-27,Installation request,Inspect equipment,62092075,Tina Harrell,Hughes PLC,155,106,307,Q170,344622,30,Corporate,Website,Mixed,2 (calls),6,PMMULWA,Medium Priority
72,2024-09-13,Consultation,Install product,74996489,Michael Rodriguez,"Kennedy, Griffin and Warren",50,369,322,Q171,314402,2,Individual,Website,High-margin,"6 (calls, visits, emails)",15,PMMULWA,High Priority
73,2025-01-12,Service call,Repair machinery,34396145,Isaac Underwood,"Mathews, Flores and Morse",83,445,389,Q172,475681,14,Contractor,Email,High-margin,"3 (calls, visits)",6,PMKILONZO,Medium Priority
74,2024-12-14,Service call,Repair machinery,15506256,Kevin Andrews,Leon-Peters,175,369,334,Q173,458392,4,Contractor,Website,High-margin,"3 (calls, visits)",9,PMKILONZO,High Priority
75,2024-12-13,Service call,Upgrade system,83868924,Joshua Barnett,Cooper Ltd,87,858,334,Q174,287391,17,Reseller,Shopify,High-margin,1 (visit),13,PMMULWA,Medium Priority
76,2024-12-03,Consultation,Inspect equipment,07929992,Amanda Castillo,Smith-Aguilar,16,514,329,Q175,378526,26,Government,Referral,Mixed,"6 (calls, visits, emails)",8,PMOMONDI,Medium Priority
77,2024-06-13,Service call,Repair machinery,82415458,Kiara Kim,Wright-Wilkinson,130,106,383,Q176,256855,29,NGO,Walk-in,Mixed,"4 (calls, visits)",15,PMAMAI,Medium Priority
78,2025-03-27,Installation request,Inspect equipment,76592319,Rebecca Cox,Brown-Anderson,114,445,341,Q177,376342,3,Individual,FloApp,High-margin,"4 (calls, visits)",9,PMKILONZO,Medium Priority
79,2024-06-10,Consultation,Install product,36026143,Barbara Williams,"Keller, Perez and Miller",126,514,340,Q178,157329,10,Contractor,Shopify,Mixed,1 (visit),14,PMKILONZO,Medium Priority
80,2025-04-13,Service call,Repair machinery,43534859,Matthew Hamilton,Wolf-Thompson,142,445,379,Q179,421594,15,Corporate,Shopify,Low-margin,2 (calls),8,PMOMONDI,Medium Priority
81,2024-11-07,Service call,Inspect equipment,91696812,Michael Crawford,Cross Group,122,858,315,Q180,40135,20,Government,Walk-in,Low-margin,"3 (calls, visits)",0,PMOMONDI,Low Priority
82,2025-03-23,Installation request,Install product,70276201,Haley Jacobson,Dixon-Rodriguez,67,514,359,Q181,86586,20,Individual,Shopify,Mixed,"3 (calls, visits)",8,PMKILONZO,Low Priority
83,2024-12-01,Installation request,Upgrade system,55850068,Katie Perez,"Hernandez, Singh and Hale",72,858,370,Q182,100834,12,Individual,Referral,Low-margin,2 (calls),2,PMMULWA,Medium Priority
84,2025-01-25,Installation request,Inspect equipment,91522716,Sarah Morrison,"Walker, Kelly and Parker",139,445,300,Q183,173289,23,NGO,Referral,Low-margin,"6 (calls, visits, emails)",15,PMNYABUTO,Medium Priority
85,2024-08-30,Installation request,Upgrade system,28937319,Brandon Johnson,Hoffman-Contreras,98,445,370,Q184,424964,17,Reseller,Shopify,Mixed,2 (calls),7,PMOMONDI,Medium Priority
86,2024-05-13,Installation request,Repair machinery,25619442,Sean Vasquez,Smith Inc,115,514,340,Q185,415439,15,Corporate,Shopify,High-margin,"6 (calls, visits, emails)",4,PMKILONZO,Medium Priority
87,2024-07-05,Service call,Repair machinery,44977114,Todd Hood,Smith-Hardy,138,106,342,Q186,480973,3,Reseller,Website,Low-margin,"4 (calls, visits)",0,PMNYABUTO,Medium Priority
88,2025-01-03,Installation request,Repair machinery,52414362,Jessica Lewis,Nguyen Inc,29,858,400,Q187,163948,10,Government,Email,High-margin,1 (visit),10,PMOMONDI,Medium Priority
89,2025-04-02,Installation request,Inspect equipment,83906644,Scott Harris,"Grant, Perry and Jones",170,858,369,Q188,43821,19,Contractor,Walk-in,Low-margin,"3 (calls, visits)",7,PMAMAI,Medium Priority
90,2024-11-06,Installation request,Install product,14739350,Travis Fox,"Ingram, Green and Strong",172,514,356,Q189,112223,22,NGO,Website,High-margin,1 (visit),9,PMMULWA,Medium Priority
91,2025-04-21,Installation request,Upgrade system,16103121,Melanie Morales,Hill Ltd,47,369,367,Q190,241033,18,Corporate,Walk-in,High-margin,1 (visit),12,PMOMONDI,Medium Priority
92,2025-02-26,Consultation,Repair machinery,18992056,Debra Leonard,Diaz-Brown,137,106,318,Q191,146733,14,Corporate,FloApp,High-margin,"6 (calls, visits, emails)",0,PMKILONZO,Medium Priority
93,2024-10-22,Installation request,Repair machinery,04751389,Colin Valenzuela,Sanders-Brown,28,858,344,Q192,333056,9,Corporate,Shopify,Low-margin,"4 (calls, visits)",9,PMNYABUTO,Medium Priority
94,2024-07-05,Installation request,Upgrade system,68352955,Diana Cruz,"Gomez, Miller and Dunlap",37,369,348,Q193,324852,11,Government,FloApp,Mixed,"3 (calls, visits)",0,PMKILONZO,Medium Priority
95,2024-09-18,Installation request,Install product,84433154,Philip Rivas,Martin LLC,154,514,377,Q194,415684,15,NGO,Walk-in,Low-margin,"3 (calls, visits)",7,PMNYABUTO,Medium Priority
96,2024-05-09,Consultation,Inspect equipment,09854088,Kristen Ross,Martin LLC,178,369,380,Q195,75941,28,Corporate,Email,High-margin,"4 (calls, visits)",1,PMOMONDI,Medium Priority
97,2024-05-09,Installation request,Repair machinery,65854653,Sarah Vang,"Obrien, Hill and Cortez",33,445,341,Q196,416895,13,Individual,Walk-in,High-margin,"5 (calls, visits)",11,PMOMONDI,Medium Priority
98,2024-06-16,Consultation,Inspect equipment,73452577,Gina Mason,"Williams, Johnson and Davis",52,445,361,Q197,447832,9,Corporate,FloApp,Mixed,"4 (calls, visits)",2,PMNYABUTO,Medium Priority
99,2024-10-05,Service call,Upgrade system,39136113,Kendra Mann,"Watson, Hernandez and Reeves",152,445,311,Q198,439545,12,Contractor,FloApp,Low-margin,"4 (calls, visits)",11,PMMULWA,Medium Priority
100,2024-11-22,Consultation,Upgrade system,84327865,Paula Watson MD,Doyle-Chung,173,445,313,Q199,378808,7,Reseller,Website,Low-margin,"5 (calls, visits)",10,PMOMONDI,Medium Priority
101,2024-10-20,Service call,Install product,16079986,Leslie Castaneda,Drake Inc,172,858,389,Q200,183434,20,Reseller,Website,High-margin,1 (visit),9,PMKILONZO,Medium Priority
102,2025-01-10,Service call,Install product,07640382,Julie Harris,"Roberts, Tapia and Gross",70,106,317,Q201,228762,14,NGO,Email,Mixed,"6 (calls, visits, emails)",13,PMOMONDI,Medium Priority
103,2024-07-21,Consultation,Repair machinery,89693685,Greg Hartman,"Smith, Harrison and Osborne",116,514,362,Q202,347779,13,NGO,Website,Low-margin,2 (calls),14,PMKILONZO,Medium Priority
104,2024-12-31,Service call,Inspect equipment,19421016,Carol Jackson,Hill-Luna,35,445,369,Q203,497748,20,NGO,Website,High-margin,2 (calls),3,PMKILONZO,Medium Priority
105,2024-09-21,Service call,Repair machinery,95877315,Stephen Stephens,"Collins, Sanchez and Hill",174,106,302,Q204,51517,25,NGO,Walk-in,Mixed,"5 (calls, visits)",6,PMAMAI,Medium Priority
106,2024-11-14,Consultation,Repair machinery,68721034,Jodi Schaefer,Soto-Wilkins,160,369,329,Q205,197259,24,Individual,Referral,High-margin,2 (calls),4,PMOMONDI,Medium Priority
107,2024-12-07,Installation request,Repair machinery,23253697,Robin Lopez,Armstrong Group,38,514,316,Q206,32791,11,Individual,Referral,High-margin,2 (calls),8,PMAMAI,Medium Priority
108,2024-08-13,Service call,Upgrade system,44891814,Jillian Martin MD,Johnson Inc,144,514,395,Q207,58322,15,Reseller,FloApp,Low-margin,1 (visit),14,PMOMONDI,Medium Priority
109,2024-06-12,Service call,Install product,79363214,Vanessa Buchanan,"Payne, Knapp and Wang",178,106,338,Q208,265146,20,Contractor,Website,Mixed,"4 (calls, visits)",13,PMAMAI,Medium Priority
110,2025-01-27,Installation request,Upgrade system,03171509,Rebecca Rocha,Olson and Sons,28,514,341,Q209,343923,4,Contractor,Walk-in,High-margin,"6 (calls, visits, emails)",10,PMKILONZO,High Priority
111,2025-02-16,Consultation,Inspect equipment,38890627,Melissa Cooper,Brooks-Rice,126,106,377,Q210,250548,3,Corporate,Website,Mixed,"6 (calls, visits, emails)",6,PMKILONZO,High Priority
112,2024-09-17,Installation request,Repair machinery,49815357,Maureen Tran,Kirk-Hunter,115,445,358,Q211,234049,13,Corporate,Website,High-margin,"3 (calls, visits)",8,PMMULWA,High Priority
113,2025-03-20,Service call,Upgrade system,35299287,Jessica Harris,Garcia and Sons,27,514,310,Q212,73879,13,Contractor,Email,Low-margin,2 (calls),1,PMOMONDI,Medium Priority
114,2024-12-15,Consultation,Inspect equipment,94394631,Sabrina Parker,"Anderson, Johnson and Walsh",41,858,345,Q213,483021,21,Reseller,Email,High-margin,"3 (calls, visits)",9,PMMULWA,Medium Priority
115,2024-08-13,Service call,Repair machinery,10950244,Doris Gilbert,"Shannon, Parker and Price",49,858,328,Q214,469216,3,NGO,Referral,High-margin,"3 (calls, visits)",7,PMKILONZO,Medium Priority
116,2024-11-28,Consultation,Install product,09343834,Jaclyn Franklin,"Miller, Molina and Smith",165,445,303,Q215,119589,8,Corporate,FloApp,Mixed,"3 (calls, visits)",0,PMNYABUTO,Medium Priority
117,2024-12-10,Service call,Upgrade system,52237001,Angela Farley,Ramsey-Smith,27,369,394,Q216,356964,0,Contractor,Email,Low-margin,"4 (calls, visits)",13,PMKILONZO,Medium Priority
118,2024-11-20,Installation request,Repair machinery,00202507,Matthew Campbell,Graves-Short,104,445,392,Q217,195070,24,Government,Referral,High-margin,1 (visit),4,PMNYABUTO,Medium Priority
119,2025-01-20,Consultation,Install product,95529305,Rhonda Berger,Hernandez LLC,30,445,356,Q218,372046,13,Reseller,Referral,High-margin,"3 (calls, visits)",6,PMOMONDI,Medium Priority
120,2025-01-16,Service call,Inspect equipment,94605001,Leah Morrison,Martinez PLC,120,514,336,Q219,380581,21,Government,Shopify,Low-margin,"3 (calls, visits)",1,PMNYABUTO,Low Priority
121,2025-03-26,Installation request,Install product,70421158,Michelle Thompson,"Williams, Wolfe and Marks",11,369,338,Q220,135747,24,Individual,FloApp,High-margin,1 (visit),0,PMKILONZO,Low Priority
122,2025-02-13,Consultation,Upgrade system,22716162,Dr. Elizabeth Freeman,Nguyen-Brown,54,369,348,Q221,304226,22,Individual,Referral,Low-margin,"6 (calls, visits, emails)",11,PMAMAI,Medium Priority
123,2025-01-14,Installation request,Install product,38552590,Ryan Hanson,Miles-Lane,121,514,358,Q222,65822,27,NGO,Referral,High-margin,"4 (calls, visits)",13,PMMULWA,Medium Priority
124,2024-09-22,Service call,Upgrade system,58910587,Curtis Pearson,Campbell PLC,15,445,321,Q223,445123,30,Government,Shopify,Mixed,"3 (calls, visits)",2,PMKILONZO,Medium Priority
125,2024-08-12,Service call,Repair machinery,62617383,Miranda Bowen,Mathews-Tran,121,106,351,Q224,299707,2,Reseller,FloApp,Low-margin,2 (calls),10,PMNYABUTO,Medium Priority
126,2025-03-12,Service call,Install product,31635236,Mindy Allen,Ray Ltd,145,106,324,Q225,499964,24,NGO,FloApp,Low-margin,"6 (calls, visits, emails)",4,PMNYABUTO,Low Priority
127,2025-03-23,Service call,Repair machinery,43036459,Katelyn Boyd,"Roberts, Olson and Gentry",75,369,322,Q226,340830,4,Corporate,Website,High-margin,"6 (calls, visits, emails)",15,PMKILONZO,High Priority
128,2024-08-04,Consultation,Upgrade system,58512680,Michael Decker,Hall-Woods,154,106,341,Q227,478114,20,NGO,Walk-in,High-margin,"4 (calls, visits)",14,PMMULWA,Medium Priority
129,2024-06-01,Installation request,Install product,36695972,Christina Hester,Mclean-Miller,100,106,309,Q228,187743,14,Reseller,Website,High-margin,"3 (calls, visits)",2,PMAMAI,Medium Priority
130,2024-05-09,Consultation,Upgrade system,87010906,Jennifer Taylor,Mullen LLC,128,106,370,Q229,440140,23,Contractor,Shopify,Mixed,"5 (calls, visits)",6,PMMULWA,Medium Priority
131,2024-07-31,Consultation,Upgrade system,68796991,Christopher Pope,Collins Ltd,138,369,307,Q230,261203,3,NGO,Email,High-margin,"6 (calls, visits, emails)",5,PMAMAI,Medium Priority
132,2024-12-28,Service call,Upgrade system,47771519,Juan Camacho,Fox-Bates,122,106,366,Q231,344713,5,NGO,FloApp,Mixed,"4 (calls, visits)",13,PMMULWA,Medium Priority
133,2025-03-29,Consultation,Install product,31850474,Kathryn Munoz,Decker and Sons,171,445,308,Q232,197852,3,Government,Email,High-margin,"3 (calls, visits)",4,PMMULWA,Medium Priority
134,2024-11-24,Service call,Repair machinery,63165948,Katie Douglas,James-Ellis,99,445,383,Q233,391204,21,Reseller,Walk-in,Low-margin,1 (visit),9,PMOMONDI,Medium Priority
